number,genus,species,Scientific Name,weight,chemical_group,substance,group,MoA,irac_group,irac_cat,LD50_bee,LD50_g_bee,tox_ref,notes
229,Nannotrigona,perilampoides,Nannotrigona perilampoides,8.2,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.001,0.000121951,Arena 2014 citing Valdovinos-Núñez 2009,
230,Osmia,bicornis,Osmia bicornis,93.4,Pyrethrins,Zeta-cypermethrin,Pyrethrins,Sodium channel modulators,3,a,0.13,0.001391863,Uhl 2019,
231,Osmia,cornifrons,Osmia cornifrons,112,Pyrethrins,Lambda-cyhalothrin,Pyrethrins,Sodium channel modulators,3,a,0.91,0.008125,Arena 2014 citing Biddinger et al. 2013,
232,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Naled,Organophosphates,AChE Inhibitors,1,b,0.0008,0.000008,Arena 2014 citing Torchio 1973,
233,Nannotrigona,perilampoides,Nannotrigona perilampoides,8.2,Neonicotinoids (nitro),Thiamethoxam,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.004,0.000487805,Arena 2014 citing Valdovinos-Núñez 2009,
234,Nomia,melanderi,Nomia melanderi,84,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.04,0.005,Arena 2014 citing Stark 1995,
235,Trigona,nigra,Trigona nigra,9.9,Pyrethrins,Permethrin,Pyrethrins,Sodium channel modulators,3,a,0.031,0.003131313,Arena 2014 citing Valdovinos-Núñez 2009,
236,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Oxamyl,Carbamates,AChE Inhibitors,1,a,0.47,0.0047,Lewis 2019,
237,Trigona,spinipes,Trigona spinipes,14,Pyrethrins,Cypermethrin,Pyrethrins,Sodium channel modulators,3,a,0.0704,0.005028571,Arena 2014 citing Macieira 1989,
238,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Oxydemeton-methyl,Organophosphates,AChE Inhibitors,1,b,0.175,0.00175,EFSA 2006,
239,Osmia,bicornis,Osmia bicornis,93.4,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.03,0.000321199,Uhl 2019,
240,Osmia,cornifrons,Osmia cornifrons,112,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,3.82,0.034107143,Arena 2014 citing Biddinger et al. 2013,
241,Trigona,spinipes,Trigona spinipes,14,Pyrethrins,Permethrin,Pyrethrins,Sodium channel modulators,3,a,0.0724,0.005171429,Arena 2014 citing Macieira 1989,
242,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Oxydemeton-methyl,Organophosphates,AChE Inhibitors,1,b,0.003,0.00003,Arena 2014 citing Torchio 1973,
243,Trigona,iridipennis,Trigona iridipennis,10,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.002,0.0002,Arena 2014 citing Kumar 2005,
244,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,1,b,0.003,0.00003,Arena 2014 citing Torchio 1973,
245,Trigona,iridipennis,Trigona iridipennis,10,Neonicotinoids (nitro),Thiamethoxam,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0051,0.00051,Arena 2014 citing Kumar 2005,
246,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Phorate,Organophosphates,AChE Inhibitors,1,b,0.3,0.003,Arena 2014 citing Stevenson 1966,
247,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Phosalone,Organophosphates,AChE Inhibitors,1,b,4.4,0.044,Arena 2014 citing DAR_Austria 2004,
248,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Phosmet,Organophosphates,AChE Inhibitors,1,b,1.9,0.019,Arena 2014 citing Biddinger et al. 2013,
249,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Phosmet,Organophosphates,AChE Inhibitors,1,b,0.22,0.0022,EFSA 2011,
250,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Phosphamidon,Organophosphates,AChE Inhibitors,1,b,0.002,0.00002,Arena 2014 citing Torchio 1973,
251,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Primicarb,Carbamates,AChE Inhibitors,1,a,53.1,0.531,Lewis 2019,
252,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Primicarb,Carbamates,AChE Inhibitors,1,a,36.1,0.361,Uhl 2019,
253,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Triazamate (RH7988),Carbamates,AChE Inhibitors,1,a,3.36,0.0336,Arena 2014 citing Stark 1995,
254,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Triazamate (RH7988),Carbamates,AChE Inhibitors,1,a,27,0.27,Lewis 2019,
255,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,3.67,0.0367,Arena 2014 citing Ahmad 1973,
256,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,5.14,0.0514,Arena 2014 citing Helson 1994,
257,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,2.85,0.0285,Lewis 2019,
258,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,0.024,0.00024,Arena 2014 citing Torchio 1973,
259,Bombus,lucorum,Bombus lucorum,217,AChE Inhibitors,Demeton-methyl,Organophosphates,AChE Inhibitors,1,b,1.5,0.006912442,Arena 2014 citing Stevenson 1966,
260,Bombus,lucorum,Bombus lucorum,217,AChE Inhibitors,Disulfoton,Organophosphates,AChE Inhibitors,1,b,5,0.023041475,Arena 2014 citing Stevenson 1966,
261,Bombus,lucorum,Bombus lucorum,217,AChE Inhibitors,Phorate,Organophosphates,AChE Inhibitors,1,b,1.5,0.006912442,Arena 2014 citing Stevenson 1966,
262,Bombus,pascuorum,Bombus pascuorum,217,AChE Inhibitors,Demeton-methyl,Organophosphates,AChE Inhibitors,1,b,2,0.00921659,Arena 2014 citing Stevenson 1966,synonym Bombus agrorum
263,Bombus,pascuorum,Bombus pascuorum,217,AChE Inhibitors,Disulfoton,Organophosphates,AChE Inhibitors,1,b,2.5,0.011520737,Arena 2014 citing Stevenson 1966,synonym Bombus agrorum
264,Bombus,pascuorum,Bombus pascuorum,217,AChE Inhibitors,Phorate,Organophosphates,AChE Inhibitors,1,b,1.5,0.006912442,Arena 2014 citing Stevenson 1966,synonym Bombus agrorum
265,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Acephate,Organophosphates,AChE Inhibitors,1,b,3.99,0.016625,Lewis 2019,
266,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Chlorpyrifos-ethyl,Organophosphates,AChE Inhibitors,1,b,2.39,0.009958333,Arena 2014 citing Thompson 2001,
267,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Chlorpyrifos-methyl,Organophosphates,AChE Inhibitors,1,b,0.09,0.000375,Arena 2014 citing Marletto 2003,
268,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Demeton-S-methyl,Organophosphates,AChE Inhibitors,1,b,3.27,0.013625,Arena 2014 citing Thompson 2001,
269,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.55,0.006458333,Arena 2014 citing Marletto 2003,
270,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.94,0.003916667,Arena 2014 citing Marletto 2003,
271,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,5.13,0.021375,Uhl 2016,
272,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Fenamiphos,Organophosphates,AChE Inhibitors,1,b,1.59,0.006625,Lewis 2019,
273,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Formetanate,Carbamates,AChE Inhibitors,1,a,4.37,0.018208333,Lewis 2019,
274,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Methiocarb,Carbamates,AChE Inhibitors,1,a,19.3,0.080416667,Lewis 2019,
275,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Oxamyl,Carbamates,AChE Inhibitors,1,a,39.3,0.16375,Lewis 2019,
276,Bombus,terrestris,Bombus terrestris,240,AChE Inhibitors,Phosalone,Organophosphates,AChE Inhibitors,1,b,5.98,0.024916667,Arena 2014 citing Marletto 2003,
277,Bombus,terricola,Bombus terricola,217,AChE Inhibitors,Aminocarb,Carbamates,AChE Inhibitors,1,a,3.07,0.014147465,Arena 2014 citing Helson 1994,
278,Bombus,terricola,Bombus terricola,217,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,41.16,0.189677419,Arena 2014 citing Helson 1994,
279,Bombus,terricola,Bombus terricola,217,AChE Inhibitors,Fenitrothion,Organophosphates,AChE Inhibitors,1,b,0.756,0.003483871,Arena 2014 citing Helson 1994,
280,Bombus,terricola,Bombus terricola,217,AChE Inhibitors,Mexacarbate,Carbamates,AChE Inhibitors,1,a,1.06,0.004884793,Arena 2014 citing Helson 1994,
281,Bombus,terricola,Bombus terricola,217,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,568.3,2.618894009,Arena 2014 citing Helson 1994,
282,Colletes,hederae,Colletes hederae,105.5,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.14,0.010805687,Uhl 2016,
283,Lasioglossum,malachurum,Lasioglossum malachurum,11,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.2,0.018181818,Uhl 2016,
284,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Aminocarb,Carbamates,AChE Inhibitors,1,a,0.068,0.002092308,Arena 2014 citing Helson 1994,
285,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Carbophenothion,Organophosphates,AChE Inhibitors,1,b,0.162,0.004984615,Arena 2014 citing Ahmad 1973,
286,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Demeton,Organophosphates,AChE Inhibitors,1,b,0.076,0.002338462,Arena 2014 citing Torchio 1973,
287,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.12,0.003692308,Arena 2014 citing Stark 1995,
288,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.0073,0.000224615,Arena 2014 citing Torchio 1973,
289,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Dicrotophos,Organophosphates,AChE Inhibitors,1,b,0.0003,9.23E-06,Arena 2014 citing Torchio 1973,
290,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.0009,2.77E-05,Arena 2014 citing Torchio 1973,
291,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Fenitrothion,Organophosphates,AChE Inhibitors,1,b,0.039,0.0012,Lewis 2019,
292,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Malathion,Organophosphates,AChE Inhibitors,1,b,0.0005,1.54E-05,Arena 2014 citing Torchio 1973,
293,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Mevinphos,Organophosphates,AChE Inhibitors,1,b,0.146,0.004492308,Arena 2014 citing Torchio 1973,
294,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Mexacarbate,Carbamates,AChE Inhibitors,1,a,0.055,0.001692308,Lewis 2019,
295,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Naled,Organophosphates,AChE Inhibitors,1,b,0.0245,0.000753846,Arena 2014 citing Torchio 1973,
296,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Oxamyl,Carbamates,AChE Inhibitors,1,a,0.019,0.000584615,Lewis 2019,
297,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Oxydemeton-methyl,Organophosphates,AChE Inhibitors,1,b,0.133,0.004092308,Arena 2014 citing Torchio 1973,
298,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,1,b,0.0157,0.000483077,Arena 2014 citing Torchio 1973,
299,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Phosphamidon,Organophosphates,AChE Inhibitors,1,b,0.0003,9.23E-06,Arena 2014 citing Torchio 1973,
300,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Triazamate (RH7988),Carbamates,AChE Inhibitors,1,a,6.11,0.188,Arena 2014 citing Stark 1995,
301,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,13.4,0.412307692,Arena 2014 citing Ahmad 1973,
302,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,7.5,0.230769231,Lewis 2019,
303,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,0.136,0.004184615,Arena 2014 citing Torchio 1973,
304,Melipona,beecheii,Melipona beecheii,57,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.24,0.004210526,Arena 2014 citing Valdovinos-Núñez 2009,
305,Melipona,beecheii,Melipona beecheii,57,AChE Inhibitors,Methomyl,Carbamates,AChE Inhibitors,1,a,0.41,0.007192982,Arena 2014 citing Valdovinos-Núñez 2009,
306,Nannotrigona,perilampoides,Nannotrigona perilampoides,8.2,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.19,0.023170732,Arena 2014 citing Valdovinos-Núñez 2009,
307,Nannotrigona,perilampoides,Nannotrigona perilampoides,8.2,AChE Inhibitors,Methomyl,Carbamates,AChE Inhibitors,1,a,0.05,0.006097561,Lewis 2019,
308,Nannotrigona,perilampoides,Nannotrigona perilampoides,8.2,AChE Inhibitors,Methomyl,Carbamates,AChE Inhibitors,1,a,0.12,0.014634146,Arena 2014 citing Valdovinos-Núñez 2009,
309,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Demeton,Organophosphates,AChE Inhibitors,1,b,0.026,0.000309524,Arena 2014 citing Torchio 1973,
310,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.45,0.005357143,Arena 2014 citing Stark 1995,
311,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.002,2.38E-05,Arena 2014 citing Torchio 1973,
312,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Dicrotophos,Organophosphates,AChE Inhibitors,1,b,0.001,1.19E-05,Arena 2014 citing Torchio 1973,
313,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.0021,0.000025,Arena 2014 citing Torchio 1973,
314,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Malathion,Organophosphates,AChE Inhibitors,1,b,0.0036,4.29E-05,Arena 2014 citing Torchio 1973,
315,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Mevinphos,Organophosphates,AChE Inhibitors,1,b,0.002,2.38E-05,Arena 2014 citing Torchio 1973,
316,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Naled,Organophosphates,AChE Inhibitors,1,b,0.0016,1.90E-05,Arena 2014 citing Torchio 1973,
317,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Oxydemeton-methyl,Organophosphates,AChE Inhibitors,1,b,0.0082,9.76E-05,Arena 2014 citing Torchio 1973,
318,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,1,b,0.0015,1.79E-05,Arena 2014 citing Torchio 1973,
319,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Phosphamidon,Organophosphates,AChE Inhibitors,1,b,0.0054,6.43E-05,Arena 2014 citing Torchio 1973,
320,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Triazamate (RH7988),Carbamates,AChE Inhibitors,1,a,5.02,0.059761905,Arena 2014 citing Stark 1995,
321,Nomia,melanderi,Nomia melanderi,84,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,0.0465,0.000553571,Arena 2014 citing Torchio 1973,
322,Osmia,bicornis,Osmia bicornis,93.5,AChE Inhibitors,Chlorpyrifos,Organophosphates,AChE Inhibitors,1,b,4.19,0.044812834,Uhl 2019,
323,Osmia,bicornis,Osmia bicornis,93.5,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,4.29,0.045882353,Uhl 2016,
324,Osmia,bicornis,Osmia bicornis,93.5,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.32,0.014117647,Uhl 2019,
325,Osmia,bicornis,Osmia bicornis,93.5,AChE Inhibitors,Primicarb,Carbamates,AChE Inhibitors,1,a,115.07,1.230695187,Uhl 2019,
326,Osmia,cornifrons,Osmia cornifrons,112,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.09,0.000803571,Arena 2014 citing Biddinger et al. 2013,
327,Osmia,cornifrons,Osmia cornifrons,112,AChE Inhibitors,Phosmet,Organophosphates,AChE Inhibitors,1,b,6.1,0.054464286,Arena 2014 citing Biddinger et al. 2013,
328,Osmia,lignaria,Osmia lignaria,131,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.96,0.014961832,Arena 2014 citing Ladurner 2005,
329,Osmia,lignaria,Osmia lignaria,131,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.21,0.009236641,Arena 2014 citing Ladurner 2005,
330,Osmia,lignaria,Osmia lignaria,131,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,1.02,0.00778626,Arena 2014 citing Ladurner 2005,
331,Scaptotrigona,bipunctata,Scaptotrigona bipunctata,18,AChE Inhibitors,Chlorpyrifos,Organophosphates,AChE Inhibitors,1,b,0.011,0.000611111,Dorneles 2017,
332,Scaptotrigona,bipunctata,Scaptotrigona bipunctata,18,AChE Inhibitors,Phosmet,Organophosphates,AChE Inhibitors,1,b,0.0087,0.000483333,Dorneles 2017,
333,Tetragonista,fibrigi,Tetragonista fibrigi,3.4,AChE Inhibitors,Chlorpyrifos,Organophosphates,AChE Inhibitors,1,b,0.0033,0.000970588,Dorneles 2017,
334,Tetragonista,fibrigi,Tetragonista fibrigi,3.4,AChE Inhibitors,Phosmet,Organophosphates,AChE Inhibitors,1,b,0.0083,0.002441176,Dorneles 2017,
335,Trigona,nigra,Trigona nigra,9.9,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.24,0.024242424,Arena 2014 citing Valdovinos-Núñez 2009,
336,Trigona,nigra,Trigona nigra,9.9,AChE Inhibitors,Methomyl,Carbamates,AChE Inhibitors,1,a,0.15,0.015151515,Arena 2014 citing Valdovinos-Núñez 2009,
337,Trigona,spinipes,Trigona spinipes,14,AChE Inhibitors,Acephate,Organophosphates,AChE Inhibitors,1,b,0.423,0.030214286,Arena 2014 citing Macieira 1989,
338,Trigona,spinipes,Trigona spinipes,14,AChE Inhibitors,Dicrotophos,Organophosphates,AChE Inhibitors,1,b,0.685,0.048928571,Lewis 2019,
339,Trigona,spinipes,Trigona spinipes,14,AChE Inhibitors,Malathion,Organophosphates,AChE Inhibitors,1,b,0.265,0.018928571,Lewis 2019,
340,Trigona,spinipes,Trigona spinipes,14,AChE Inhibitors,Methomyl,Carbamates,AChE Inhibitors,1,a,0.1402,0.010014286,Arena 2014 citing Macieira 1989,
